,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Январь,,,,,,,Февраль,,,,,,,Март,,,,,,,Апрель,,,,,,,Май,,,,,,,Июнь,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,пн,,,7,14,21,28,,,,4,11,18,25,,,,4,11,18,25,,,1,8,15,22,29,,,,6,13,20,27,,,,3,10,17,24,,,пн,
,вт,,1,8,15,22,29,,,,5,12,19,26,,,,5,12,19,26,,,2,9,16,23,30,,,,7,14,21,28,,,,4,11,18,25,,,вт,
,ср,,2,9,16,23,30,,,,6,13,20,27,,,,6,13,20,27,,,3,10,17,24,,,,1,8,15,22,29,,,,5,12,19,26,,,ср,
,чт,,3,10,17,24,31,,,,7,14,21,28,,,,7,14,21,28,,,4,11,18,25,,,,2,9,16,23,30,,,,6,13,20,27,,,чт,
,пт,,4,11,18,25,,,,1,8,15,22,,,,1,8,15,22,29,,,5,12,19,26,,,,3,10,17,24,31,,,,7,14,21,28,,,пт,
,сб,,5,12,19,26,,,,2,9,16,23,,,,2,9,16,23,30,,,6,13,20,27,,,,4,11,18,25,,,,1,8,15,22,29,,,сб,
,вс,,6,13,20,27,,,,3,10,17,24,,,,3,10,17,24,31,,,7,14,21,28,,,,5,12,19,26,,,,2,9,16,23,30,,,вс,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Июль,,,,,,,Август,,,,,,,Сентябрь,,,,,,,Октябрь,,,,,,,Ноябрь,,,,,,,Декабрь,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,пн,,1,8,15,22,29,,,,5,12,19,26,,,,2,9,16,23,30,,,7,14,21,28,,,,4,11,18,25,,,,2,9,16,23,30,,пн,
,вт,,2,9,16,23,30,,,,6,13,20,27,,,,3,10,17,24,,,1,8,15,22,29,,,,5,12,19,26,,,,3,10,17,24,31,,вт,
,ср,,3,10,17,24,31,,,,7,14,21,28,,,,4,11,18,25,,,2,9,16,23,30,,,,6,13,20,27,,,,4,11,18,25,,,ср,
,чт,,4,11,18,25,,,,1,8,15,22,29,,,,5,12,19,26,,,3,10,17,24,31,,,,7,14,21,28,,,,5,12,19,26,,,чт,
,пт,,5,12,19,26,,,,2,9,16,23,30,,,,6,13,20,27,,,4,11,18,25,,,,1,8,15,22,29,,,,6,13,20,27,,,пт,
,сб,,6,13,20,27,,,,3,10,17,24,31,,,,7,14,21,28,,,5,12,19,26,,,,2,9,16,23,30,,,,7,14,21,28,,,сб,
,вс,,7,14,21,28,,,,4,11,18,25,,,,1,8,15,22,29,,,6,13,20,27,,,,3,10,17,24,,,,1,8,15,22,29,,,вс,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
